#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 16,     1.13, 3,   boost,   14.43,  97494.00,  323.90,  192.63,  141.11, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.14, 3,   boost,   13.36,  97480.00,  325.10,  193.83,  141.22, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.15, 3,   boost,   12.30,  97456.00,  327.16,  195.90,  141.33, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.16, 3,   boost,   11.26,  97440.00,  328.54,  197.27,  141.42, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.17, 3,   boost,   10.24,  97418.00,  330.43,  199.16,  141.51, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.18, 3,   boost,    9.23,  97403.00,  331.71,  200.45,  141.58, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.19, 3,   boost,    8.24,  97395.00,  332.40,  201.14,  141.64, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.20, 3,   boost,    7.26,  97371.00,  334.47,  203.20,  141.69, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.21, 3,   boost,    6.30,  97364.00,  335.07,  203.80,  141.73, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.22, 3,   boost,    5.36,  97364.00,  335.07,  203.80,  141.76, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.23, 3,   boost,    4.44,  97334.00,  337.65,  206.38,  141.78, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.24, 3,   boost,    3.54,  97305.00,  340.14,  208.88,  141.78, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.25, 3,   boost,    2.66,  97278.00,  342.46,  211.20,  141.78, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.26, 3,   boost,    1.79,  97258.00,  344.18,  212.92,  141.78, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.27, 3,   boost,    0.95,  97223.00,  347.20,  215.93,  141.76, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.28, 3,   boost,    0.12,  97141.00,  354.26,  222.99,  141.73, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.29, 3,   boost,   -0.68,  97063.00,  360.98,  229.71,  141.70, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.30, 3,   boost,   -1.47,  97030.00,  363.82,  232.56,  141.65, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.31, 3,   boost,   -2.24,  97017.00,  364.94,  233.68,  141.60, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.32, 3,   boost,   -2.98,  97023.00,  364.43,  233.16,  141.54, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.33, 3,   boost,   -3.71,  97023.00,  364.43,  233.16,  141.47, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.34, 3,   boost,   -4.41,  97079.00,  359.60,  228.33,  141.40, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.35, 3,   boost,   -5.10,  97125.00,  355.64,  224.37,  141.32, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.36, 3,   boost,   -5.76,  97118.00,  356.24,  224.97,  141.23, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.37, 3,   boost,   -6.41,  97107.00,  357.19,  225.92,  141.13, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.38, 3,   boost,   -7.03,  97095.00,  358.22,  226.96,  141.03, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.39, 3,   boost,   -7.63,  97076.00,  359.86,  228.59,  140.93, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.40, 3,   boost,   -8.22,  97063.00,  360.98,  229.71,  140.81, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.41, 3,   boost,   -8.78,  97043.00,  362.70,  231.44,  140.69, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.42, 3,   boost,   -9.33,  97023.00,  364.43,  233.16,  140.57, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.43, 3,   boost,   -9.86,  97007.00,  365.81,  234.54,  140.44, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.44, 3,   boost,  -10.36,  97007.00,  365.81,  234.54,  140.31, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.45, 3,   boost,  -10.85,  96977.00,  368.39,  237.13,  140.17, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.46, 3,   boost,  -11.32,  96966.00,  369.34,  238.08,  140.03, 23.7, 0.00, 0.00, 4.00
